dataset_name,kpi,is_kpi,dtype,domain,description
manufacturing_adv_product_analytics,waste_percentage,1,int,manufacturing_adv,KPI measuring waste percentage in manufacturing adv domain.
agriculture_agritech_product_analytics,region,0,string,agriculture_agritech,Supporting attribute representing region.
finance_analytics_7,cost_to_serve,1,float,finance,KPI measuring cost to serve in finance domain.
hr_adv_campaign_performance,region,0,int,hr_adv,Supporting attribute representing region.
sales_marketing_course_outcomes_34,engagement_rate,1,float,sales_marketing,KPI measuring engagement rate in sales marketing domain.
hospitality_travel_claims_38,segment,0,date,hospitality_travel,Supporting attribute representing segment.
realestate_construction_reliability_metrics,construction_delay_index,1,int,realestate_construction,KPI measuring construction delay index in realestate construction domain.
ai_datascience_policy_admin,country,0,int,ai_datascience,Supporting attribute representing country.
cybersecurity_orders_25,mean_time_to_detect,1,int,cybersecurity,KPI measuring mean time to detect in cybersecurity domain.
education_edtech_shipment_tracking_12,skill_improvement_rate,1,int,education_edtech,KPI measuring skill improvement rate in education edtech domain.
manufacturing_monitoring_40,segment,0,int,manufacturing,Supporting attribute representing segment.
logistics_trends,on_time_delivery_rate,1,int,logistics,KPI measuring on time delivery rate in logistics domain.
ecommerce_retail_reliability_metrics,cart_abandonment_rate,1,float,ecommerce_retail,KPI measuring cart abandonment rate in ecommerce retail domain.
ecommerce_retail_customer_segments_25,delivery_time,1,float,ecommerce_retail,KPI measuring delivery time in ecommerce retail domain.
cybersecurity_claims,date,0,string,cybersecurity,Supporting attribute representing date.
saas_it_usage_telemetry,date,0,string,saas_it,Supporting attribute representing date.
saas_it_customer_segments_43,id,0,int,saas_it,Supporting attribute representing id.
marketing_analytics_3,channel,0,date,marketing,Supporting attribute representing channel.
product_monitoring,category,0,date,product,Supporting attribute representing category.
telecom_transactions,complaint_resolution_time,1,int,telecom,KPI measuring complaint resolution time in telecom domain.
manufacturing_benchmarking,timestamp,0,date,manufacturing,Supporting attribute representing timestamp.
public_government_campaign_performance_13,citizen_satisfaction_index,1,int,public_government,KPI measuring citizen satisfaction index in public government domain.
manufacturing_analytics,channel,0,string,manufacturing,Supporting attribute representing channel.
sales_metrics,pipeline_velocity,1,float,sales,KPI measuring pipeline velocity in sales domain.
manufacturing_trends_49,production_yield,1,int,manufacturing,KPI measuring production yield in manufacturing domain.
energy_sustainability_student_performance,category,0,string,energy_sustainability,Supporting attribute representing category.
manufacturing_dataset,region,0,string,manufacturing,Supporting attribute representing region.
hr_dataset_26,employee_retention_rate,1,int,hr,KPI measuring employee retention rate in hr domain.
product_trends_46,channel,0,date,product,Supporting attribute representing channel.
finance_fintech_shipment_tracking,country,0,int,finance_fintech,Supporting attribute representing country.
finance_metrics,category,0,date,finance,Supporting attribute representing category.
ai_datascience_customer_segments,model_drift_index,1,int,ai_datascience,KPI measuring model drift index in ai datascience domain.
hospitality_travel_orders,average_daily_rate,1,float,hospitality_travel,KPI measuring average daily rate in hospitality travel domain.
realestate_construction_sustainability_index,cost_per_square_foot,1,float,realestate_construction,KPI measuring cost per square foot in realestate construction domain.
manufacturing_adv_efficiency_dashboard,waste_percentage,1,int,manufacturing_adv,KPI measuring waste percentage in manufacturing adv domain.
supplychain_logistics_sustainability_index,freight_cost_per_unit,1,float,supplychain_logistics,KPI measuring freight cost per unit in supplychain logistics domain.
transport_automotive_usage_telemetry,category,0,string,transport_automotive,Supporting attribute representing category.
hospitality_travel_risk_analytics,booking_cancellation_rate,1,float,hospitality_travel,KPI measuring booking cancellation rate in hospitality travel domain.
banking_insurance_trial_registry,id,0,date,banking_insurance,Supporting attribute representing id.
hospitality_travel_risk_analytics,guest_satisfaction_score,1,int,hospitality_travel,KPI measuring guest satisfaction score in hospitality travel domain.
hospitality_travel_sustainability_index_33,revenue_per_available_room,1,int,hospitality_travel,KPI measuring revenue per available room in hospitality travel domain.
devops_operations,automation_coverage,1,int,devops,KPI measuring automation coverage in devops domain.
agriculture_agritech_transactions,segment,0,string,agriculture_agritech,Supporting attribute representing segment.
hr_adv_engagement_analytics,employee_turnover_rate,1,int,hr_adv,KPI measuring employee turnover rate in hr adv domain.
energy_sustainability_clinical_outcomes,renewable_energy_share,1,int,energy_sustainability,KPI measuring renewable energy share in energy sustainability domain.
hr_trends,segment,0,string,hr,Supporting attribute representing segment.
marketing_reporting_35,location,0,string,marketing,Supporting attribute representing location.
transport_automotive_course_outcomes_19,maintenance_cost_ratio,1,float,transport_automotive,KPI measuring maintenance cost ratio in transport automotive domain.
ai_datascience_shipment_tracking_2,model_drift_index,1,float,ai_datascience,KPI measuring model drift index in ai datascience domain.
cybersecurity_customer_segments,incidents_detected,1,int,cybersecurity,KPI measuring incidents detected in cybersecurity domain.
energy_sustainability_usage_telemetry,power_utilization_efficiency,1,float,energy_sustainability,KPI measuring power utilization efficiency in energy sustainability domain.
transport_automotive_efficiency_dashboard,average_trip_distance,1,float,transport_automotive,KPI measuring average trip distance in transport automotive domain.
supplychain_logistics_trial_registry,inventory_accuracy,1,int,supplychain_logistics,KPI measuring inventory accuracy in supplychain logistics domain.
devops_monitoring,country,0,int,devops,Supporting attribute representing country.
telecom_campaign_performance,date,0,string,telecom,Supporting attribute representing date.
finance_performance_11,liquidity_coverage_ratio,1,float,finance,KPI measuring liquidity coverage ratio in finance domain.
energy_sustainability_transactions_3,channel,0,int,energy_sustainability,Supporting attribute representing channel.
logistics_trends,transportation_cost_per_unit,1,int,logistics,KPI measuring transportation cost per unit in logistics domain.
hr_adv_claims,employee_productivity_index,1,int,hr_adv,KPI measuring employee productivity index in hr adv domain.
hr_adv_campaign_performance,employee_productivity_index,1,float,hr_adv,KPI measuring employee productivity index in hr adv domain.
finance_fintech_policy_admin,roi,1,int,finance_fintech,KPI measuring roi in finance fintech domain.
banking_insurance_product_analytics,channel,0,date,banking_insurance,Supporting attribute representing channel.
media_entertainment_engagement_analytics,ad_revenue_per_view,1,float,media_entertainment,KPI measuring ad revenue per view in media entertainment domain.
realestate_construction_course_outcomes,location,0,date,realestate_construction,Supporting attribute representing location.
marketing_performance,cost_per_acquisition,1,int,marketing,KPI measuring cost per acquisition in marketing domain.
logistics_operations,segment,0,date,logistics,Supporting attribute representing segment.
devops_benchmarking,segment,0,int,devops,Supporting attribute representing segment.
devops_operations,location,0,string,devops,Supporting attribute representing location.
healthcare_pharma_sustainability_index,region,0,int,healthcare_pharma,Supporting attribute representing region.
banking_insurance_usage_telemetry,country,0,string,banking_insurance,Supporting attribute representing country.
devops_historical_46,service_availability_slo,1,float,devops,KPI measuring service availability slo in devops domain.
manufacturing_adv_shipment_tracking_43,defect_rate,1,float,manufacturing_adv,KPI measuring defect rate in manufacturing adv domain.
saas_it_orders,system_uptime_percent,1,float,saas_it,KPI measuring system uptime percent in saas it domain.
transport_automotive_engagement_analytics,fuel_efficiency_per_vehicle,1,float,transport_automotive,KPI measuring fuel efficiency per vehicle in transport automotive domain.
agriculture_agritech_efficiency_dashboard,country,0,int,agriculture_agritech,Supporting attribute representing country.
finance_fintech_risk_analytics_40,segment,0,int,finance_fintech,Supporting attribute representing segment.
sales_marketing_course_outcomes,region,0,int,sales_marketing,Supporting attribute representing region.
devops_trends_48,automation_coverage,1,int,devops,KPI measuring automation coverage in devops domain.
energy_sustainability_cost_reporting,timestamp,0,int,energy_sustainability,Supporting attribute representing timestamp.
logistics_metrics,location,0,string,logistics,Supporting attribute representing location.
manufacturing_adv_trial_registry,timestamp,0,int,manufacturing_adv,Supporting attribute representing timestamp.
manufacturing_monitoring,production_yield,1,int,manufacturing,KPI measuring production yield in manufacturing domain.
devops_performance,change_failure_rate,1,float,devops,KPI measuring change failure rate in devops domain.
hr_adv_clinical_outcomes,channel,0,string,hr_adv,Supporting attribute representing channel.
hospitality_travel_shipment_tracking_11,guest_satisfaction_score,1,int,hospitality_travel,KPI measuring guest satisfaction score in hospitality travel domain.
energy_sustainability_shipment_tracking,location,0,date,energy_sustainability,Supporting attribute representing location.
finance_fintech_course_outcomes,return_on_equity,1,int,finance_fintech,KPI measuring return on equity in finance fintech domain.
agriculture_agritech_sustainability_index,id,0,date,agriculture_agritech,Supporting attribute representing id.
hr_adv_fraud_monitoring_24,region,0,date,hr_adv,Supporting attribute representing region.
realestate_construction_product_analytics_32,segment,0,int,realestate_construction,Supporting attribute representing segment.
finance_monitoring,working_capital_ratio,1,float,finance,KPI measuring working capital ratio in finance domain.
product_trends,date,0,int,product,Supporting attribute representing date.
marketing_historical_21,conversion_rate,1,int,marketing,KPI measuring conversion rate in marketing domain.
realestate_construction_engagement_analytics,timestamp,0,int,realestate_construction,Supporting attribute representing timestamp.
public_government_cost_reporting,country,0,string,public_government,Supporting attribute representing country.
finance_kpi_table_24,return_on_assets,1,int,finance,KPI measuring return on assets in finance domain.
cybersecurity_product_analytics,country,0,int,cybersecurity,Supporting attribute representing country.
manufacturing_adv_cost_reporting,production_downtime,1,int,manufacturing_adv,KPI measuring production downtime in manufacturing adv domain.
realestate_construction_product_analytics_29,occupancy_ratio,1,float,realestate_construction,KPI measuring occupancy ratio in realestate construction domain.
sales_marketing_customer_segments,category,0,date,sales_marketing,Supporting attribute representing category.
transport_automotive_campaign_performance,passenger_load_factor,1,int,transport_automotive,KPI measuring passenger load factor in transport automotive domain.
manufacturing_adv_fraud_monitoring,waste_percentage,1,float,manufacturing_adv,KPI measuring waste percentage in manufacturing adv domain.
media_entertainment_reliability_metrics,subscriber_growth_rate,1,float,media_entertainment,KPI measuring subscriber growth rate in media entertainment domain.
ecommerce_retail_orders_12,repeat_purchase_rate,1,int,ecommerce_retail,KPI measuring repeat purchase rate in ecommerce retail domain.
supplychain_logistics_reliability_metrics,warehouse_utilization,1,int,supplychain_logistics,KPI measuring warehouse utilization in supplychain logistics domain.
agriculture_agritech_sustainability_index_25,crop_yield_per_acre,1,int,agriculture_agritech,KPI measuring crop yield per acre in agriculture agritech domain.
devops_trends,country,0,int,devops,Supporting attribute representing country.
sales_benchmarking_6,customer_retention_cost,1,float,sales,KPI measuring customer retention cost in sales domain.
supplychain_logistics_engagement_analytics,timestamp,0,date,supplychain_logistics,Supporting attribute representing timestamp.
energy_sustainability_transactions,emission_intensity,1,float,energy_sustainability,KPI measuring emission intensity in energy sustainability domain.
finance_fintech_campaign_performance,net_interest_margin,1,float,finance_fintech,KPI measuring net interest margin in finance fintech domain.
hr_monitoring_21,country,0,int,hr,Supporting attribute representing country.
ecommerce_retail_shipment_tracking,category,0,string,ecommerce_retail,Supporting attribute representing category.
education_edtech_fraud_monitoring,id,0,string,education_edtech,Supporting attribute representing id.
banking_insurance_student_performance,country,0,int,banking_insurance,Supporting attribute representing country.
saas_it_efficiency_dashboard_25,feature_adoption_rate,1,int,saas_it,KPI measuring feature adoption rate in saas it domain.
sales_marketing_transactions_33,funnel_dropoff_rate,1,int,sales_marketing,KPI measuring funnel dropoff rate in sales marketing domain.
agriculture_agritech_engagement_analytics,fertilizer_efficiency,1,int,agriculture_agritech,KPI measuring fertilizer efficiency in agriculture agritech domain.
healthcare_pharma_reliability_metrics_50,segment,0,int,healthcare_pharma,Supporting attribute representing segment.
media_entertainment_shipment_tracking,subscriber_growth_rate,1,int,media_entertainment,KPI measuring subscriber growth rate in media entertainment domain.
supplychain_logistics_course_outcomes,warehouse_utilization,1,int,supplychain_logistics,KPI measuring warehouse utilization in supplychain logistics domain.
manufacturing_adv_risk_analytics,production_throughput,1,int,manufacturing_adv,KPI measuring production throughput in manufacturing adv domain.
realestate_construction_transactions_28,occupancy_ratio,1,int,realestate_construction,KPI measuring occupancy ratio in realestate construction domain.
ecommerce_retail_claims_43,region,0,int,ecommerce_retail,Supporting attribute representing region.
manufacturing_trends,timestamp,0,date,manufacturing,Supporting attribute representing timestamp.
manufacturing_adv_engagement_analytics,id,0,date,manufacturing_adv,Supporting attribute representing id.
devops_trends_45,deployment_frequency,1,int,devops,KPI measuring deployment frequency in devops domain.
education_edtech_course_outcomes_18,country,0,date,education_edtech,Supporting attribute representing country.
ecommerce_retail_policy_admin_23,cart_abandonment_rate,1,int,ecommerce_retail,KPI measuring cart abandonment rate in ecommerce retail domain.
agriculture_agritech_risk_analytics,date,0,date,agriculture_agritech,Supporting attribute representing date.
banking_insurance_claims,id,0,date,banking_insurance,Supporting attribute representing id.
healthcare_pharma_engagement_analytics,country,0,string,healthcare_pharma,Supporting attribute representing country.
manufacturing_metrics_29,inventory_turnover,1,float,manufacturing,KPI measuring inventory turnover in manufacturing domain.
logistics_performance_31,transportation_cost_per_unit,1,int,logistics,KPI measuring transportation cost per unit in logistics domain.
ai_datascience_usage_telemetry,location,0,string,ai_datascience,Supporting attribute representing location.
hr_adv_claims,training_roi,1,int,hr_adv,KPI measuring training roi in hr adv domain.
energy_sustainability_product_analytics_37,segment,0,int,energy_sustainability,Supporting attribute representing segment.
ecommerce_retail_sustainability_index,cart_abandonment_rate,1,int,ecommerce_retail,KPI measuring cart abandonment rate in ecommerce retail domain.
banking_insurance_policy_admin,channel,0,string,banking_insurance,Supporting attribute representing channel.
realestate_construction_cost_reporting,construction_delay_index,1,float,realestate_construction,KPI measuring construction delay index in realestate construction domain.
media_entertainment_customer_segments,content_production_cost_index,1,float,media_entertainment,KPI measuring content production cost index in media entertainment domain.
finance_kpi_table,liquidity_coverage_ratio,1,int,finance,KPI measuring liquidity coverage ratio in finance domain.
marketing_historical,customer_lifetime_value,1,float,marketing,KPI measuring customer lifetime value in marketing domain.
manufacturing_operations_33,order_fulfillment_time,1,int,manufacturing,KPI measuring order fulfillment time in manufacturing domain.
energy_sustainability_customer_segments_5,emission_intensity,1,float,energy_sustainability,KPI measuring emission intensity in energy sustainability domain.
devops_metrics_8,category,0,date,devops,Supporting attribute representing category.
ai_datascience_customer_segments,segment,0,date,ai_datascience,Supporting attribute representing segment.
saas_it_fraud_monitoring,customer_churn_rate,1,int,saas_it,KPI measuring customer churn rate in saas it domain.
public_government_fraud_monitoring_11,citizen_satisfaction_index,1,float,public_government,KPI measuring citizen satisfaction index in public government domain.
finance_kpi_table,channel,0,date,finance,Supporting attribute representing channel.
education_edtech_clinical_outcomes_10,country,0,string,education_edtech,Supporting attribute representing country.
finance_fintech_student_performance_48,net_interest_margin,1,float,finance_fintech,KPI measuring net interest margin in finance fintech domain.
ai_datascience_claims_10,prediction_latency,1,float,ai_datascience,KPI measuring prediction latency in ai datascience domain.
healthcare_pharma_usage_telemetry_42,bed_occupancy_rate,1,float,healthcare_pharma,KPI measuring bed occupancy rate in healthcare pharma domain.
ai_datascience_sustainability_index,id,0,string,ai_datascience,Supporting attribute representing id.
supplychain_logistics_trial_registry_4,category,0,date,supplychain_logistics,Supporting attribute representing category.
hospitality_travel_cost_reporting_33,id,0,int,hospitality_travel,Supporting attribute representing id.
media_entertainment_course_outcomes,timestamp,0,int,media_entertainment,Supporting attribute representing timestamp.
ecommerce_retail_sustainability_index,country,0,int,ecommerce_retail,Supporting attribute representing country.
hr_adv_clinical_outcomes,employee_engagement_score,1,int,hr_adv,KPI measuring employee engagement score in hr adv domain.
cybersecurity_orders,id,0,date,cybersecurity,Supporting attribute representing id.
ecommerce_retail_cost_reporting,delivery_time,1,float,ecommerce_retail,KPI measuring delivery time in ecommerce retail domain.
hr_adv_product_analytics,training_roi,1,int,hr_adv,KPI measuring training roi in hr adv domain.
sales_marketing_orders,country,0,date,sales_marketing,Supporting attribute representing country.
finance_fintech_cost_reporting_6,segment,0,string,finance_fintech,Supporting attribute representing segment.
healthcare_pharma_product_analytics,id,0,string,healthcare_pharma,Supporting attribute representing id.
logistics_historical,id,0,string,logistics,Supporting attribute representing id.
logistics_trends,country,0,string,logistics,Supporting attribute representing country.
manufacturing_adv_efficiency_dashboard,yield_rate,1,float,manufacturing_adv,KPI measuring yield rate in manufacturing adv domain.
transport_automotive_sustainability_index,date,0,string,transport_automotive,Supporting attribute representing date.
realestate_construction_usage_telemetry,region,0,int,realestate_construction,Supporting attribute representing region.
finance_fintech_usage_telemetry,return_on_equity,1,int,finance_fintech,KPI measuring return on equity in finance fintech domain.
hr_metrics,segment,0,string,hr,Supporting attribute representing segment.
agriculture_agritech_trial_registry_30,crop_yield_per_acre,1,int,agriculture_agritech,KPI measuring crop yield per acre in agriculture agritech domain.
product_metrics_38,daily_active_users,1,int,product,KPI measuring daily active users in product domain.
marketing_kpi_table,click_through_rate,1,int,marketing,KPI measuring click through rate in marketing domain.
banking_insurance_cost_reporting,id,0,int,banking_insurance,Supporting attribute representing id.
agriculture_agritech_risk_analytics,soil_health_index,1,float,agriculture_agritech,KPI measuring soil health index in agriculture agritech domain.
saas_it_reliability_metrics,id,0,string,saas_it,Supporting attribute representing id.
sales_benchmarking_38,pipeline_velocity,1,float,sales,KPI measuring pipeline velocity in sales domain.
product_benchmarking,engagement_depth_score,1,int,product,KPI measuring engagement depth score in product domain.
saas_it_risk_analytics_22,location,0,date,saas_it,Supporting attribute representing location.
public_government_course_outcomes,budget_utilization_efficiency,1,int,public_government,KPI measuring budget utilization efficiency in public government domain.
saas_it_course_outcomes,system_uptime_percent,1,float,saas_it,KPI measuring system uptime percent in saas it domain.
banking_insurance_reliability_metrics,policy_claim_settlement_time,1,int,banking_insurance,KPI measuring policy claim settlement time in banking insurance domain.
healthcare_pharma_usage_telemetry_44,treatment_adherence_rate,1,float,healthcare_pharma,KPI measuring treatment adherence rate in healthcare pharma domain.
hr_adv_sustainability_index,training_roi,1,float,hr_adv,KPI measuring training roi in hr adv domain.
marketing_dataset_2,lead_to_opportunity_ratio,1,int,marketing,KPI measuring lead to opportunity ratio in marketing domain.
cybersecurity_customer_segments,id,0,string,cybersecurity,Supporting attribute representing id.
healthcare_pharma_efficiency_dashboard,clinical_trial_success_rate,1,int,healthcare_pharma,KPI measuring clinical trial success rate in healthcare pharma domain.
finance_benchmarking,channel,0,string,finance,Supporting attribute representing channel.
ecommerce_retail_cost_reporting_25,average_order_value,1,float,ecommerce_retail,KPI measuring average order value in ecommerce retail domain.
finance_kpi_table_3,liquidity_coverage_ratio,1,float,finance,KPI measuring liquidity coverage ratio in finance domain.
public_government_reliability_metrics_26,project_delivery_time,1,float,public_government,KPI measuring project delivery time in public government domain.
realestate_construction_engagement_analytics,category,0,date,realestate_construction,Supporting attribute representing category.
telecom_cost_reporting_13,network_latency,1,float,telecom,KPI measuring network latency in telecom domain.
sales_reporting,location,0,int,sales,Supporting attribute representing location.
devops_metrics_45,location,0,string,devops,Supporting attribute representing location.
media_entertainment_product_analytics_6,ad_revenue_per_view,1,int,media_entertainment,KPI measuring ad revenue per view in media entertainment domain.
marketing_monitoring,region,0,date,marketing,Supporting attribute representing region.
manufacturing_historical,overall_equipment_effectiveness,1,float,manufacturing,KPI measuring overall equipment effectiveness in manufacturing domain.
transport_automotive_reliability_metrics,maintenance_cost_ratio,1,float,transport_automotive,KPI measuring maintenance cost ratio in transport automotive domain.
media_entertainment_reliability_metrics,ad_revenue_per_view,1,int,media_entertainment,KPI measuring ad revenue per view in media entertainment domain.
sales_marketing_reliability_metrics,channel,0,string,sales_marketing,Supporting attribute representing channel.
finance_kpi_table_6,free_cash_flow,1,float,finance,KPI measuring free cash flow in finance domain.
ai_datascience_risk_analytics_11,model_accuracy,1,float,ai_datascience,KPI measuring model accuracy in ai datascience domain.
supplychain_logistics_campaign_performance,last_mile_delivery_success_rate,1,int,supplychain_logistics,KPI measuring last mile delivery success rate in supplychain logistics domain.
realestate_construction_policy_admin,budget_deviation_percent,1,float,realestate_construction,KPI measuring budget deviation percent in realestate construction domain.
healthcare_pharma_shipment_tracking_10,diagnosis_accuracy,1,int,healthcare_pharma,KPI measuring diagnosis accuracy in healthcare pharma domain.
transport_automotive_campaign_performance,average_trip_distance,1,int,transport_automotive,KPI measuring average trip distance in transport automotive domain.
telecom_student_performance,region,0,date,telecom,Supporting attribute representing region.
sales_marketing_campaign_performance,lead_to_deal_ratio,1,float,sales_marketing,KPI measuring lead to deal ratio in sales marketing domain.
hospitality_travel_claims,id,0,date,hospitality_travel,Supporting attribute representing id.
ai_datascience_sustainability_index,prediction_latency,1,int,ai_datascience,KPI measuring prediction latency in ai datascience domain.
hr_adv_risk_analytics_5,id,0,string,hr_adv,Supporting attribute representing id.
saas_it_product_analytics_40,support_response_time,1,int,saas_it,KPI measuring support response time in saas it domain.
sales_analytics_16,pipeline_velocity,1,float,sales,KPI measuring pipeline velocity in sales domain.
banking_insurance_claims,category,0,date,banking_insurance,Supporting attribute representing category.
devops_operations,deployment_frequency,1,float,devops,KPI measuring deployment frequency in devops domain.
cybersecurity_orders,mean_time_to_resolve,1,float,cybersecurity,KPI measuring mean time to resolve in cybersecurity domain.
media_entertainment_campaign_performance_2,timestamp,0,string,media_entertainment,Supporting attribute representing timestamp.
energy_sustainability_policy_admin,power_utilization_efficiency,1,float,energy_sustainability,KPI measuring power utilization efficiency in energy sustainability domain.
agriculture_agritech_sustainability_index,location,0,string,agriculture_agritech,Supporting attribute representing location.
manufacturing_adv_usage_telemetry,production_downtime,1,float,manufacturing_adv,KPI measuring production downtime in manufacturing adv domain.
product_trends_47,channel,0,int,product,Supporting attribute representing channel.
saas_it_orders,id,0,string,saas_it,Supporting attribute representing id.
manufacturing_adv_cost_reporting,energy_usage_per_unit,1,int,manufacturing_adv,KPI measuring energy usage per unit in manufacturing adv domain.
ecommerce_retail_fraud_monitoring_4,delivery_time,1,float,ecommerce_retail,KPI measuring delivery time in ecommerce retail domain.
devops_kpi_table,location,0,string,devops,Supporting attribute representing location.
transport_automotive_cost_reporting,fleet_downtime_percent,1,float,transport_automotive,KPI measuring fleet downtime percent in transport automotive domain.
agriculture_agritech_orders,irrigation_utilization,1,int,agriculture_agritech,KPI measuring irrigation utilization in agriculture agritech domain.
education_edtech_claims,country,0,int,education_edtech,Supporting attribute representing country.
manufacturing_adv_claims,overall_equipment_effectiveness,1,float,manufacturing_adv,KPI measuring overall equipment effectiveness in manufacturing adv domain.
telecom_sustainability_index,network_latency,1,int,telecom,KPI measuring network latency in telecom domain.
finance_fintech_policy_admin_31,return_on_equity,1,float,finance_fintech,KPI measuring return on equity in finance fintech domain.
banking_insurance_transactions,country,0,int,banking_insurance,Supporting attribute representing country.
saas_it_efficiency_dashboard,location,0,string,saas_it,Supporting attribute representing location.
hr_reporting_50,timestamp,0,int,hr,Supporting attribute representing timestamp.
realestate_construction_reliability_metrics_16,cost_per_square_foot,1,float,realestate_construction,KPI measuring cost per square foot in realestate construction domain.
sales_historical,sales_growth_rate,1,float,sales,KPI measuring sales growth rate in sales domain.
transport_automotive_cost_reporting_35,on_time_trip_percent,1,float,transport_automotive,KPI measuring on time trip percent in transport automotive domain.
hr_adv_shipment_tracking,employee_engagement_score,1,float,hr_adv,KPI measuring employee engagement score in hr adv domain.
energy_sustainability_customer_segments_5,country,0,int,energy_sustainability,Supporting attribute representing country.
finance_fintech_risk_analytics,category,0,int,finance_fintech,Supporting attribute representing category.
saas_it_usage_telemetry,category,0,date,saas_it,Supporting attribute representing category.
ecommerce_retail_campaign_performance_31,average_order_value,1,float,ecommerce_retail,KPI measuring average order value in ecommerce retail domain.
cybersecurity_policy_admin_31,compliance_score,1,float,cybersecurity,KPI measuring compliance score in cybersecurity domain.
education_edtech_campaign_performance_13,enrollment_growth,1,float,education_edtech,KPI measuring enrollment growth in education edtech domain.
finance_fintech_product_analytics,transaction_volume,1,int,finance_fintech,KPI measuring transaction volume in finance fintech domain.
transport_automotive_cost_reporting_32,on_time_trip_percent,1,int,transport_automotive,KPI measuring on time trip percent in transport automotive domain.
media_entertainment_course_outcomes,id,0,string,media_entertainment,Supporting attribute representing id.
ai_datascience_risk_analytics,data_pipeline_uptime,1,float,ai_datascience,KPI measuring data pipeline uptime in ai datascience domain.
education_edtech_orders_33,channel,0,string,education_edtech,Supporting attribute representing channel.
hr_adv_campaign_performance,segment,0,date,hr_adv,Supporting attribute representing segment.
saas_it_efficiency_dashboard,feature_adoption_rate,1,float,saas_it,KPI measuring feature adoption rate in saas it domain.
manufacturing_benchmarking_24,timestamp,0,int,manufacturing,Supporting attribute representing timestamp.
manufacturing_adv_usage_telemetry_36,channel,0,int,manufacturing_adv,Supporting attribute representing channel.
agriculture_agritech_student_performance_7,soil_health_index,1,int,agriculture_agritech,KPI measuring soil health index in agriculture agritech domain.
telecom_campaign_performance,network_latency,1,int,telecom,KPI measuring network latency in telecom domain.
cybersecurity_shipment_tracking_36,category,0,string,cybersecurity,Supporting attribute representing category.
hospitality_travel_transactions,timestamp,0,string,hospitality_travel,Supporting attribute representing timestamp.
devops_monitoring_5,location,0,int,devops,Supporting attribute representing location.
ai_datascience_clinical_outcomes,prediction_latency,1,float,ai_datascience,KPI measuring prediction latency in ai datascience domain.
marketing_benchmarking_24,date,0,int,marketing,Supporting attribute representing date.
hospitality_travel_efficiency_dashboard,region,0,date,hospitality_travel,Supporting attribute representing region.
finance_fintech_orders,timestamp,0,date,finance_fintech,Supporting attribute representing timestamp.
sales_analytics,customer_churn_rate,1,int,sales,KPI measuring customer churn rate in sales domain.
education_edtech_reliability_metrics_19,country,0,string,education_edtech,Supporting attribute representing country.
sales_benchmarking,gross_margin_return_on_investment,1,float,sales,KPI measuring gross margin return on investment in sales domain.
marketing_metrics,return_on_marketing_investment,1,float,marketing,KPI measuring return on marketing investment in marketing domain.
sales_metrics,quote_to_close_ratio,1,int,sales,KPI measuring quote to close ratio in sales domain.
finance_performance_40,ebitda_margin,1,int,finance,KPI measuring ebitda margin in finance domain.
education_edtech_reliability_metrics,segment,0,int,education_edtech,Supporting attribute representing segment.
hr_adv_reliability_metrics_29,id,0,int,hr_adv,Supporting attribute representing id.
manufacturing_operations,id,0,date,manufacturing,Supporting attribute representing id.
agriculture_agritech_clinical_outcomes,date,0,string,agriculture_agritech,Supporting attribute representing date.
supplychain_logistics_reliability_metrics,country,0,string,supplychain_logistics,Supporting attribute representing country.
devops_performance_4,id,0,date,devops,Supporting attribute representing id.
devops_reporting_24,date,0,int,devops,Supporting attribute representing date.
finance_fintech_campaign_performance,cost_to_income_ratio,1,float,finance_fintech,KPI measuring cost to income ratio in finance fintech domain.
media_entertainment_transactions_48,ad_revenue_per_view,1,int,media_entertainment,KPI measuring ad revenue per view in media entertainment domain.
transport_automotive_reliability_metrics,country,0,string,transport_automotive,Supporting attribute representing country.
marketing_trends,region,0,date,marketing,Supporting attribute representing region.
ecommerce_retail_cost_reporting,timestamp,0,string,ecommerce_retail,Supporting attribute representing timestamp.
transport_automotive_policy_admin,fleet_downtime_percent,1,float,transport_automotive,KPI measuring fleet downtime percent in transport automotive domain.
hr_adv_claims_1,employee_engagement_score,1,float,hr_adv,KPI measuring employee engagement score in hr adv domain.
hr_adv_transactions,id,0,date,hr_adv,Supporting attribute representing id.
supplychain_logistics_shipment_tracking_6,transport_time,1,float,supplychain_logistics,KPI measuring transport time in supplychain logistics domain.
realestate_construction_transactions,safety_compliance_rate,1,int,realestate_construction,KPI measuring safety compliance rate in realestate construction domain.
ecommerce_retail_claims_10,repeat_purchase_rate,1,int,ecommerce_retail,KPI measuring repeat purchase rate in ecommerce retail domain.
sales_performance_40,customer_retention_cost,1,int,sales,KPI measuring customer retention cost in sales domain.
realestate_construction_engagement_analytics,budget_deviation_percent,1,int,realestate_construction,KPI measuring budget deviation percent in realestate construction domain.
hr_kpi_table_33,date,0,string,hr,Supporting attribute representing date.
media_entertainment_shipment_tracking,ad_revenue_per_view,1,float,media_entertainment,KPI measuring ad revenue per view in media entertainment domain.
healthcare_pharma_course_outcomes,treatment_adherence_rate,1,int,healthcare_pharma,KPI measuring treatment adherence rate in healthcare pharma domain.
ecommerce_retail_reliability_metrics,region,0,string,ecommerce_retail,Supporting attribute representing region.
realestate_construction_trial_registry,channel,0,string,realestate_construction,Supporting attribute representing channel.
